ID,Player,Span,Matches,Starts,Subs,Points,Tries,Conversions,Penalties,Drop Goals,GfM,Won,Lost,Drawn
1,William Allen,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
2,George Andrews,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
3,W.H. Ash,1875-1877,3,3,0,0,0,0,0,0,0,0,3,0
4,Maurice Barlow,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
5,Richard Bell,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
6,Brab Casement,1875-1879,3,3,0,0,0,0,0,0,0,0,3,0
7,Abram Combe,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
8,Henry Cox,1875-1877,4,4,0,0,0,0,0,0,0,0,4,0
9,Abraham Cronyn,1875-1880,3,3,0,0,0,0,0,0,0,0,3,0
10,William Gaffikin,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
11,Edgar Galbraith,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
12,Richard Galbraith,1875-1877,3,3,0,0,0,0,0,0,0,0,3,0
13,Francis Hewson,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
14,Sandy McDonald,1875-1884,13,13,0,0,0,0,0,0,0,1,11,1
15,Edward MacIlwaine,1895-1895,2,2,0,0,0,0,0,0,0,0,2,0
16,Robert Maginniss,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
17,John Myles,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
18,George Stack,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
19,Robert Walkington,1875-1882,10,10,0,0,0,0,0,0,0,0,9,1
20,Henry Walsh,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
21,David Arnott,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
22,Tim Cuscaden,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
23,William Finlay,1875-1882,8,8,0,0,0,0,0,0,0,0,8,0
24,R. Greer,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
25,Edward Hobson,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
26,John Ireland,1875-1877,2,2,0,0,0,0,0,0,0,0,2,0
27,Hamilton Moore,1875-1877,2,2,0,0,0,0,0,0,0,0,2,0
28,Ashley Westby,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
29,Harry Brown,1877-1877,1,1,0,0,0,0,0,0,0,0,1,0
30,Thomas Brown,1877-1877,2,2,0,0,0,0,0,0,0,0,2,0
31,Henry Edwards,1877-1878,2,2,0,0,0,0,0,0,0,0,2,0
32,Thomas Gordon,1877-1878,3,3,0,0,0,0,0,0,0,0,3,0
33,William Hamilton,1877-1877,1,1,0,0,0,0,0,0,0,0,1,0
34,Harry Jackson,1877-1877,1,1,0,0,0,0,0,0,0,0,1,0
35,Hugh Kelly,1877-1880,6,6,0,0,0,0,0,0,0,0,6,0
36,Frederick Kidd,1877-1878,3,3,0,0,0,0,0,0,0,0,3,0
37,Augustus Whitestone,1877-1883,5,5,0,0,0,0,0,0,0,0,5,0
38,William Wilson,1877-1877,2,2,0,0,0,0,0,0,0,0,2,0
